ticket_id,complaint,category,route_to,priority,customer_id,cleaned_complaint,text_length,word_count
TKT1226,complaint about wrong tax amount,Billing Issue,Finance Team,HIGH,CUST313,complaint about wrong tax amount,32,5
TKT1351,urgent delivery delayed,Delivery Problem,Logistics Team,MEDIUM,CUST921,urgent delivery delayed,23,3
TKT1980,please help delivery delayed,Delivery Problem,Logistics Team,MEDIUM,CUST967,please help delivery delayed,28,4
TKT1933,urgent refund not received,Refund Request,Finance Team,MEDIUM,CUST144,urgent refund not received,26,4
TKT1126,my order money back,Refund Request,Finance Team,MEDIUM,CUST322,my order money back,19,4
TKT1457,asap money back,Refund Request,Finance Team,MEDIUM,CUST657,asap money back,15,3
TKT1227,please help poor quality,Product Defect,Quality Team,HIGH,CUST125,please help poor quality,24,4
TKT1445,my order courier issue,Delivery Problem,Logistics Team,MEDIUM,CUST121,my order courier issue,22,4
TKT1569,I have an issue with overcharged,Billing Issue,Finance Team,HIGH,CUST251,i have an issue with overcharged,32,6
TKT1057,transaction wrong tax amount,Billing Issue,Finance Team,HIGH,CUST379,transaction wrong tax amount,28,4
TKT1075,asap refund pending,Refund Request,Finance Team,MEDIUM,CUST211,asap refund pending,19,3
TKT1310,please help forgot password,Account Issue,IT Support Team,LOW,CUST426,please help forgot password,27,4
TKT1344,my order account locked,Account Issue,IT Support Team,LOW,CUST140,my order account locked,23,4
TKT1926,I have an issue with order not delivered,Delivery Problem,Logistics Team,MEDIUM,CUST426,i have an issue with order not delivered,40,8
TKT1321,please help forgot password,Account Issue,IT Support Team,LOW,CUST412,please help forgot password,27,4
TKT1188,customer id package missing,Delivery Problem,Logistics Team,MEDIUM,CUST218,customer id package missing,27,4
TKT1860,urgent wrong tax amount,Billing Issue,Finance Team,HIGH,CUST896,urgent wrong tax amount,23,4
TKT1816,please help duplicate charge,Billing Issue,Finance Team,HIGH,CUST475,please help duplicate charge,28,4
TKT1328,customer id login problem,Account Issue,IT Support Team,LOW,CUST834,customer id login problem,25,4
TKT1670,I have an issue with return and refund,Refund Request,Finance Team,MEDIUM,CUST869,i have an issue with return and refund,38,8
TKT1102,regarding return and refund,Refund Request,Finance Team,MEDIUM,CUST242,regarding return and refund,27,4
TKT1519,customer id item damaged,Product Defect,Quality Team,HIGH,CUST856,customer id item damaged,24,4
TKT1051,please help duplicate charge,Billing Issue,Finance Team,HIGH,CUST798,please help duplicate charge,28,4
TKT1682,urgent profile not updating,Account Issue,IT Support Team,LOW,CUST869,urgent profile not updating,27,4
TKT1613,asap damaged goods,Delivery Problem,Logistics Team,MEDIUM,CUST257,asap damaged goods,18,3
TKT1402,please help order not delivered,Delivery Problem,Logistics Team,MEDIUM,CUST605,please help order not delivered,31,5
TKT1223,complaint about overcharged,Billing Issue,Finance Team,HIGH,CUST623,complaint about overcharged,27,3
TKT1875,complaint about product stopped working,Product Defect,Quality Team,HIGH,CUST217,complaint about product stopped working,39,5
TKT1032,please help defective unit,Product Defect,Quality Team,HIGH,CUST838,please help defective unit,26,4
TKT1420,I have an issue with product stopped working,Product Defect,Quality Team,HIGH,CUST191,i have an issue with product stopped working,44,8
TKT1763,please help wrong item delivered,Delivery Problem,Logistics Team,MEDIUM,CUST546,please help wrong item delivered,32,5
TKT1342,urgent damaged goods,Delivery Problem,Logistics Team,MEDIUM,CUST826,urgent damaged goods,20,3
TKT1055,transaction money back,Refund Request,Finance Team,MEDIUM,CUST515,transaction money back,22,3
TKT1970,my order damaged goods,Delivery Problem,Logistics Team,MEDIUM,CUST130,my order damaged goods,22,4
TKT1292,complaint about order not delivered,Delivery Problem,Logistics Team,MEDIUM,CUST150,complaint about order not delivered,35,5
TKT1429,urgent duplicate charge,Billing Issue,Finance Team,HIGH,CUST799,urgent duplicate charge,23,3
TKT1132,asap account suspended,Account Issue,IT Support Team,LOW,CUST676,asap account suspended,22,3
TKT1612,please help account suspended,Account Issue,IT Support Team,LOW,CUST141,please help account suspended,29,4
TKT1699,my order cannot login,Account Issue,IT Support Team,LOW,CUST686,my order cannot login,21,4
TKT1210,complaint about wrong item delivered,Delivery Problem,Logistics Team,MEDIUM,CUST265,complaint about wrong item delivered,36,5
TKT1315,transaction late shipment,Delivery Problem,Logistics Team,MEDIUM,CUST212,transaction late shipment,25,3
TKT1686,please help profile not updating,Account Issue,IT Support Team,LOW,CUST795,please help profile not updating,32,5
TKT1607,urgent damaged goods,Delivery Problem,Logistics Team,MEDIUM,CUST460,urgent damaged goods,20,3
TKT1651,I have an issue with late shipment,Delivery Problem,Logistics Team,MEDIUM,CUST888,i have an issue with late shipment,34,7
TKT1792,please help delivery delayed,Delivery Problem,Logistics Team,MEDIUM,CUST774,please help delivery delayed,28,4
TKT1007,please help want refund,Refund Request,Finance Team,MEDIUM,CUST574,please help want refund,23,4
TKT1673,I have an issue with invoice wrong amount,Billing Issue,Finance Team,HIGH,CUST926,i have an issue with invoice wrong amount,41,8
TKT1298,complaint about overcharged,Billing Issue,Finance Team,HIGH,CUST301,complaint about overcharged,27,3
TKT1626,urgent password reset,Account Issue,IT Support Team,LOW,CUST159,urgent password reset,21,3
TKT1685,transaction refund not received,Refund Request,Finance Team,MEDIUM,CUST782,transaction refund not received,31,4
TKT1279,my order payment not reflected,Billing Issue,Finance Team,HIGH,CUST697,my order payment not reflected,30,5
TKT1957,my order cancel and refund,Refund Request,Finance Team,MEDIUM,CUST949,my order cancel and refund,26,5
TKT1383,urgent order not delivered,Delivery Problem,Logistics Team,MEDIUM,CUST410,urgent order not delivered,26,4
TKT1202,urgent late shipment,Delivery Problem,Logistics Team,MEDIUM,CUST537,urgent late shipment,20,3
TKT1224,urgent delivery delayed,Delivery Problem,Logistics Team,MEDIUM,CUST177,urgent delivery delayed,23,3
TKT1681,transaction item broken,Product Defect,Quality Team,HIGH,CUST959,transaction item broken,23,3
TKT1984,transaction wrong item delivered,Delivery Problem,Logistics Team,MEDIUM,CUST932,transaction wrong item delivered,32,4
TKT1531,I have an issue with tracking not updated,Delivery Problem,Logistics Team,MEDIUM,CUST980,i have an issue with tracking not updated,41,8
TKT1599,I have an issue with want refund,Refund Request,Finance Team,MEDIUM,CUST614,i have an issue with want refund,32,7
TKT1642,customer id profile not updating,Account Issue,IT Support Team,LOW,CUST437,customer id profile not updating,32,5
TKT1392,I have an issue with login problem,Account Issue,IT Support Team,LOW,CUST769,i have an issue with login problem,34,7
